an_profil,an_donnee,cod_geo_n,nom_mun,designation,population,classe_population,cod_mrc,nom_mrc,cod_ra,nom_ra,cod_cm,nom_cm,Richesse foncière uniformisée (RFU),Évaluation imposable uniformisée agricole - agglomération,Évaluation imposable uniformisée autre,Évaluation imposable uniformisée autre - agglomération,Évaluation imposable uniformisée résidentielle / Évaluation uniformisée des immeubles imposables,Évaluation imposable uniformisée résidentielle / Évaluation uniformisée des immeubles imposables - agglomération,Évaluation imposable uniformisée industrielle et commerciale / Évaluation uniformisée des immeubles imposables,Évaluation imposable uniformisée industrielle et commerciale / Évaluation uniformisée des immeubles imposables - agglomération,Évaluation imposable uniformisée agricole / Évaluation uniformisée des immeubles imposables,Évaluation imposable uniformisée agricole / Évaluation uniformisée des immeubles imposables - agglomération,Évaluation imposable uniformisée autre / Évaluation uniformisée des immeubles imposables,Richesse foncière uniformisée (RFU) - agglomération,Évaluation imposable uniformisée autre / Évaluation uniformisée des immeubles imposables - agglomération,Évaluation moyenne uniformisée des résidences d'un logement (incluant condominiums),Évaluation moyenne uniformisée par logement,RFU par unité d'évaluation imposable et compensable,RFU par unité d'évaluation imposable et compensable - agglomération,Indice RFU par unité d'évaluation imposable et compensable,Nombre d'unité d'évaluation imposable et compensable,Nombre d'unité d'évaluation imposable et compensable - agglomération,Évaluation uniformisée des immeubles imposables,Évaluation uniformisée des immeubles imposables - agglomération,Évaluation imposable uniformisée résidentielle,Évaluation imposable uniformisée résidentielle - agglomération,Évaluation imposable uniformisée industrielle et commerciale,Évaluation imposable uniformisée industrielle et commerciale - agglomération,Évaluation imposable uniformisée agricole
2023,2023,03020,Grande-Vallée,M,1069,1 @ 1 999,AR030,La Côte-de-Gaspé,11,Gaspésie-Îles-de-la-Madeleine,,,105553514.88,,2848608.0,,0.8659,,0.1031,,0.0017,,0.0293,,,159611.0,133320.0,125360.0,,72.0,842.0,,97265880.0,,84226392.0,,10024452.0,,166428.0
2023,2023,03025,Murdochville,V,608,1 @ 1 999,AR030,La Côte-de-Gaspé,11,Gaspésie-Îles-de-la-Madeleine,,,35037647.54,,734643.0,,0.7746,,0.2036,,,,0.0219,,,64128.0,51220.0,66109.0,,38.0,530.0,,33569144.0,,26001339.0,,6833162.0,,
2023,2023,04005,Sainte-Madeleine-de-la-Rivière-Madeleine,M,279,1 @ 1 999,AR040,La Haute-Gaspésie,11,Gaspésie-Îles-de-la-Madeleine,,,30256368.0,,2246240.0,,0.8033,,0.1096,,0.0126,,0.0744,,,75127.0,80084.0,57087.0,,33.0,530.0,,30175669.0,,24239798.0,,3308255.0,,381376.0
2023,2023,04010,Saint-Maxime-du-Mont-Louis,M,1131,1 @ 1 999,AR040,La Haute-Gaspésie,11,Gaspésie-Îles-de-la-Madeleine,,,79438583.52,,3646944.0,,0.8199,,0.1201,,0.0088,,0.0512,,,103240.0,88972.0,82065.0,,47.0,968.0,,71250624.0,,58419360.0,,8559108.0,,625212.0
2023,2023,04015,Mont-Saint-Pierre,VL,170,1 @ 1 999,AR040,La Haute-Gaspésie,11,Gaspésie-Îles-de-la-Madeleine,,,19084926.0,,962475.0,,0.7781,,0.1614,,0.0098,,0.0507,,,110370.0,98713.0,68160.0,,39.0,280.0,,19000179.0,,14783739.0,,3067005.0,,186960.0
2023,2023,04020,Rivière-à-Claude,M,143,1 @ 1 999,AR040,La Haute-Gaspésie,11,Gaspésie-Îles-de-la-Madeleine,,,12248355.0,,1302105.0,,0.7728,,0.1124,,0.0085,,0.1063,,,78294.0,72488.0,48033.0,,28.0,255.0,,12248355.0,,9465015.0,,1377180.0,,104055.0
2023,2023,04025,Marsoui,VL,266,1 @ 1 999,AR040,La Haute-Gaspésie,11,Gaspésie-Îles-de-la-Madeleine,,,16405391.52,,658341.0,,0.7892,,0.1637,,0.004,,0.043,,,73329.0,65493.0,54503.0,,31.0,301.0,,15294357.0,,12070806.0,,2504382.0,,60828.0
2023,2023,04030,La Martre,M,208,1 @ 1 999,AR040,La Haute-Gaspésie,11,Gaspésie-Îles-de-la-Madeleine,,,20328532.0,,2158660.0,,0.7274,,0.1427,,0.0234,,0.1064,,,98782.0,81809.0,57425.0,,33.0,354.0,,20279504.0,,14751359.0,,2894080.0,,475405.0
2023,2023,04037,Sainte-Anne-des-Monts,V,6359,2 000 @ 9 999,AR040,La Haute-Gaspésie,11,Gaspésie-Îles-de-la-Madeleine,,,597748094.8,,11464235.0,,0.8152,,0.1574,,0.0053,,0.022,,,154254.0,120939.0,150985.0,,55.0,3959.0,,520489540.0,,424328955.0,,81947735.0,,2748615.0
2023,2023,04047,Cap-Chat,V,2452,2 000 @ 9 999,AR040,La Haute-Gaspésie,11,Gaspésie-Îles-de-la-Madeleine,,,201799808.1,,3205855.0,,0.7881,,0.1586,,0.036,,0.0172,,,118655.0,101382.0,102384.0,,37.0,1971.0,,186232725.0,,146775880.0,,29540855.0,,6710135.0
